,FIPS Code,adult_fullvax_pct
232,5065,0.243
233,5061,0.345
234,5029,0.399
235,2013,0.321
236,2100,0.634
237,5011,0.389
238,4013,0.368
239,1027,0.269
240,5007,0.338
241,1053,0.226
242,1001,0.248
243,5017,0.395
244,5075,0.29
245,1011,0.345
246,1111,0.241
247,1117,0.231
248,5027,0.306
249,1061,0.265
250,5043,0.335
251,1081,0.298
252,4019,0.479
253,4009,0.486
254,1119,0.33
255,1095,0.283
256,5009,0.257
257,5041,0.422
258,1087,0.31
259,1017,0.209
260,6001,0.53
261,6079,0.408
262,8069,0.378
263,5069,0.257
264,5125,0.342
265,5147,0.409
266,12017,0.409
267,8075,0.166
268,13053,0.999
269,6113,0.454
270,8091,0.384
271,5085,0.314
272,6067,0.404
273,8073,0.166
274,5135,0.26
275,8001,0.274
276,6021,0.373
277,8047,0.282
278,6023,0.437
279,5123,0.325
280,8085,0.297
281,6101,0.383
282,8071,0.291
283,6075,0.543
284,5127,0.25
285,5077,0.234
286,6011,0.37
287,8077,0.286
288,8055,0.275
289,5107,0.329
290,6081,0.548
291,6083,0.491
292,6033,0.413
293,12019,0.302
294,5137,0.29
295,13081,0.089
296,5145,0.305
297,6055,0.531
298,8037,0.397
299,6017,0.415
300,8027,0.219
301,8063,0.199
302,6029,0.339
303,8093,0.236
304,6009,0.364
305,6111,0.479
306,8015,0.29
307,6071,0.347
308,8014,0.413
309,16071,0.323
310,6049,
311,6105,
312,8009,0.155
313,5119,0.41
314,8041,0.326
315,8049,0.348
316,5121,0.205
317,8051,0.32
318,8065,0.321
319,5097,0.291
320,5131,0.251
321,5133,0.313
322,6085,0.53
323,13027,0.237
324,6019,0.408
325,5083,0.297
326,5129,0.275
327,6051,
328,6109,0.424
329,5103,0.364
330,8061,0.13
331,8079,0.371
332,5105,0.373
333,8021,0.249
334,6003,
335,10001,0.363
336,6097,0.537
337,5139,0.315
338,6073,0.316
339,6095,0.413
340,5081,0.21
341,8029,0.262
342,8013,0.392
343,16017,0.343
344,5093,0.272
345,8099,0.199
346,5099,0.198
347,8011,0.084
348,5095,0.372
349,6043,
350,5089,0.24
351,8003,0.267
352,5101,0.215
353,13109,0.115
354,5141,0.311
355,8067,0.425
356,8005,0.295
357,8031,0.341
358,6103,0.277
359,5087,0.263
360,8057,0.189
361,6007,0.385
362,6035,0.261
363,6037,0.439
364,8097,0.262
365,6065,0.375
366,6061,0.458
367,6091,
368,13049,0.035
369,8081,0.18
370,5117,0.261
371,6059,0.465
372,6027,
373,6045,0.477
374,5115,0.329
375,6005,0.356
376,8043,0.207
377,6015,0.28
378,8059,0.385
379,6047,0.29
380,6107,0.37
381,13045,0.135
382,5109,0.272
383,8101,0.248
384,5079,0.226
385,6041,0.677
386,6025,0.394
387,5149,0.317
388,8095,0.235
389,8007,0.265
390,8039,0.195
391,8035,0.386
392,13257,0.031
393,8089,0.233
394,8087,0.248
395,5143,0.344
396,6089,0.336
397,8017,0.126
398,6069,0.385
399,5113,0.238
400,8033,0.206
401,6039,0.368
402,8053,0.274
403,6093,0.385
404,8045,0.259
405,8083,0.358
406,6063,
407,13051,0.356
408,13013,0.085
409,12113,0.319
410,6115,0.293
411,13107,0.181
412,12125,0.195
413,6031,0.259
414,13075,0.284
415,6077,0.342
416,13059,0.152
417,8107,0.432
418,13021,0.158
419,17073,0.436
420,17119,0.424
421,17055,0.296
422,8113,0.514
423,17185,0.38
424,13079,0.104
425,13001,0.051
426,18021,0.407
427,9013,0.494
428,12067,0.225
429,13055,0.042
430,13231,0.057
431,13243,0.046
432,11001,0.391
433,12041,0.224
434,13057,0.207
435,13091,0.026
436,12121,0.253
437,8121,0.154
438,10003,0.444
439,12005,0.311
440,6099,0.34
441,13105,0.112
442,5111,0.286
443,12097,0.367
444,12083,0.381
445,13191,0.283
446,12129,0.308
447,18075,0.322
448,17131,0.462
449,12059,0.193
450,16049,0.238
451,13201,0.074
452,17063,0.376
453,13321,0.078
454,12075,0.289
455,16007,0.378
456,6013,0.586
457,12105,0.319
458,9001,0.545
459,12086,0.425
460,12001,0.427
461,12007,0.208
462,12009,0.401
463,17125,0.384
464,13023,0.023
465,12003,0.198
466,13145,0.133
467,12127,0.379
468,13031,0.196
469,12131,0.308
470,6087,0.503
471,17089,0.4
472,18053,0.333
473,13025,0.057
474,13127,0.395
475,17203,0.413
476,17189,0.428
477,13167,0.036
478,12021,0.476
479,12093,0.282
480,18005,0.411
481,13003,0.036
482,6053,0.468
483,13067,0.274
484,13039,0.334
485,10005,0.504
486,9009,0.537
487,9005,0.54
488,13015,0.067
489,12031,0.391
490,8019,0.21
491,18071,0.354
492,13233,0.044
493,12085,0.447
494,12047,0.223
495,12115,0.503
496,8109,0.146
497,13029,0.268
498,16037,0.371
499,12055,0.345
500,8023,0.299
501,12065,0.436
502,17023,0.332
503,16027,0.304
504,9003,0.543
505,8103,0.139
506,12109,0.524
507,12061,0.449
508,17171,0.325
509,12069,0.462
510,8105,0.34
511,13077,0.175
512,16079,0.36
513,8119,0.219
514,18031,0.393
515,5091,0.089
516,13305,0.236
517,13047,0.065
518,12077,0.192
519,13005,0.044
520,13071,0.09
521,13165,0.13
522,13097,0.162
523,17117,0.389
524,12099,0.421
525,12095,0.389
526,13099,0.064
527,17133,0.476
528,8025,0.087
529,9011,0.569
530,12033,0.348
531,8125,0.201
532,12081,0.405
533,17105,0.318
534,13087,0.259
535,17019,0.442
536,12107,0.243
537,13125,0.062
538,13063,0.084
539,6057,0.421
540,12051,0.269
541,8123,0.28
542,13085,0.033
543,12039,0.389
544,12073,0.389
545,13211,0.148
546,17093,0.423
547,12053,0.354
548,16063,0.287
549,12087,0.461
550,13037,0.08
551,13117,0.125
552,13069,0.191
553,8115,0.218
554,13261,0.284
555,17017,0.447
556,13295,0.135
557,13209,0.126
558,16055,0.35
559,12011,0.409
560,13301,0.056
561,13283,0.044
562,13271,0.098
563,17109,0.342
564,15003,
565,13143,0.068
566,13163,0.181
567,19067,0.451
568,13149,0.053
569,13035,0.048
570,17025,0.306
571,12023,0.262
572,13183,0.019
573,13061,0.152
574,13185,0.192
575,12057,0.373
576,16045,0.302
577,12133,0.189
578,13159,0.092
579,16013,0.614
580,13131,0.063
581,12035,0.44
582,13139,0.185
583,12101,0.372
584,13161,0.032
585,13141,0.03
586,13281,0.036
587,16005,0.394
588,9015,0.44
589,13007,0.233
590,12103,0.435
591,17007,0.37
592,13133,0.34
593,15009,
594,13113,0.242
595,16061,0.37
596,13225,0.037
597,8117,0.48
598,16025,0.35
599,13123,0.057
600,16051,0.311
601,12119,0.64
602,13153,0.271
603,12027,0.256
604,12091,0.355
605,16073,0.224
606,20067,0.394
607,13171,0.052
608,18023,0.353
609,13223,0.104
610,15005,
611,13175,0.137
612,12049,0.233
613,16035,0.313
614,13011,0.063
615,13095,0.111
616,16053,0.295
617,16065,0.257
618,13205,0.076
619,17101,0.271
620,13157,0.162
621,13195,0.135
622,18013,0.369
623,16029,0.302
624,13083,0.097
625,13311,0.035
626,13317,0.079
627,16023,0.347
628,12037,0.326
629,12071,0.41
630,13119,0.047
631,13197,0.057
632,16069,0.381
633,13019,0.116
634,15001,
635,13189,0.08
636,16081,0.488
637,13303,0.06
638,13137,0.089
639,16019,0.388
640,13265,0.085
641,16041,0.335
642,16085,0.494
643,13065,0.231
644,12117,0.383
645,12043,0.181
646,17173,0.302
647,13217,0.064
648,13187,0.022
649,13017,0.045
650,16003,0.338
651,13115,0.074
652,13135,0.187
653,13227,0.068
654,17199,0.383
655,13269,0.197
656,13169,0.147
657,16075,0.247
658,13151,0.108
659,13215,0.247
660,13033,0.285
661,12111,0.36
662,12123,0.242
663,12029,0.222
664,18077,0.424
665,13237,0.043
666,13173,0.061
667,16067,0.276
668,13267,0.042
669,13239,0.071
670,12015,0.488
671,17081,0.311
672,13103,0.157
673,17045,0.322
674,12089,0.431
675,13073,0.19
676,16011,0.366
677,13259,0.106
678,13219,0.205
679,13009,0.033
680,16083,0.339
681,13279,0.078
682,12079,0.284
683,16047,0.298
684,13229,0.19
685,13309,0.034
686,13241,0.188
687,18025,0.287
688,17193,0.364
689,18041,0.312
690,17135,0.345
691,18059,0.497
692,18047,0.244
693,16043,0.317
694,17145,0.302
695,13043,0.084
696,18001,0.324
697,17151,0.217
698,51013,0.291
699,13207,0.039
700,50025,0.398
701,13251,0.264
702,17143,0.449
703,13179,0.292
704,18017,0.319
705,18003,0.378
706,13247,0.048
707,48455,
708,16031,0.244
709,13177,0.064
710,17021,0.334
711,48087,
712,17169,0.463
713,18079,0.288
714,17115,0.365
715,17051,0.232
716,17077,0.375
717,17175,0.402
718,16087,0.307
719,13213,0.044
720,17057,0.407
721,8111,0.267
722,18011,0.533
723,17071,0.365
724,18061,0.407
725,18045,0.367
726,17069,0.3
727,17177,0.447
728,13121,0.197
729,48325,
730,18009,0.349
731,9007,0.62
732,18039,0.302
733,48099,
734,17001,0.444
735,18027,0.278
736,17049,0.338
737,13297,0.141
738,17035,0.284
739,18035,0.357
740,17167,0.491
741,17127,0.286
742,17147,0.406
743,17079,0.282
744,13253,0.027
745,18089,0.374
746,48135,
747,17085,0.656
748,13307,0.09
749,17015,0.45
750,17083,0.428
751,13273,0.09
752,48479,
753,48109,
754,17107,0.356
755,48089,
756,18087,0.22
757,16015,0.25
758,13249,0.1
759,50007,0.466
760,16039,0.299
761,13155,0.055
762,13181,0.105
763,17061,0.335
764,12013,0.21
765,18073,0.309
766,18055,0.301
767,51041,0.25
768,17097,0.433
769,17129,0.433
770,18085,0.298
771,17059,0.41
772,13235,0.044
773,48175,
774,17165,0.36
775,17191,0.331
776,17201,0.408
777,18067,0.346
778,17031,0.434
779,16059,0.386
780,16009,0.372
781,17121,0.324
782,16033,0.273
783,13255,0.05
784,48453,
785,17091,0.314
786,18015,0.251
787,17153,0.277
788,48191,
789,17123,0.416
790,13287,0.09
791,17039,0.346
792,17149,0.32
793,17183,0.297
794,13291,0.054
795,17003,0.221
796,48119,
797,13315,0.046
798,17067,0.376
799,17195,0.389
800,48337,
801,17041,0.334
802,13221,0.203
803,17075,0.356
804,48275,
805,13245,0.231
806,18007,0.292
807,17065,0.297
808,17187,0.372
809,13193,0.08
810,18033,0.315
811,17027,0.422
812,17095,0.41
813,18029,0.369
814,17053,0.399
815,48163,
816,13277,0.131
817,48285,
818,17163,0.434
819,16021,0.268
820,15007,
821,17139,0.344
822,13285,0.123
823,17137,0.39
824,17157,0.336
825,17111,0.389
826,17161,0.42
827,48203,
828,13199,0.146
829,17155,0.429
830,17011,0.384
831,17197,0.402
832,17033,0.376
833,17013,0.481
834,17005,0.389
835,13147,0.208
836,18115,0.565
837,18159,0.312
838,19049,0.494
839,18051,0.372
840,19141,0.471
841,18095,0.376
842,17103,0.37
843,18173,0.513
844,18065,0.376
845,19001,0.434
846,18091,0.394
847,20157,0.458
848,20169,0.368
849,21013,0.348
850,20033,0.434
851,19137,0.496
852,17181,0.417
853,19109,0.477
854,19155,0.429
855,17043,0.482
856,19035,0.488
857,19039,0.457
858,18167,0.381
859,19009,0.545
860,21031,0.357
861,18129,0.393
862,19115,0.428
863,19081,0.433
864,19031,0.508
865,19189,0.466
866,19147,0.471
867,18125,0.456
868,19077,0.491
869,19127,0.473
870,18019,0.476
871,19129,0.442
872,13319,0.111
873,19119,0.4
874,19073,0.496
875,19059,0.521
876,18097,0.352
877,21025,0.355
878,21083,0.315
879,19029,0.523
880,17159,0.37
881,19089,0.448
882,20041,0.432
883,19139,0.488
884,18183,0.362
885,19125,0.443
886,17113,0.401
887,18143,0.319
888,19121,0.433
889,20009,0.345
890,18139,0.394
891,19113,0.519
892,19019,0.482
893,17099,0.341
894,19051,0.347
895,21045,0.244
896,18161,0.37
897,19069,0.462
898,18105,0.387
899,18147,0.36
900,17009,0.254
901,20203,0.455
902,20087,0.447
903,19037,0.49
904,20049,0.282
905,18107,0.325
906,18049,0.311
907,19117,0.384
908,18083,0.426
909,21007,0.241
910,19027,0.578
911,19021,0.527
912,20207,0.315
913,19097,0.464
914,18063,0.509
915,19191,0.502
916,19055,0.476
917,19045,0.428
918,19003,0.462
919,19151,0.452
920,19025,0.501
921,18151,0.403
922,17029,0.317
923,20061,0.368
924,19169,0.434
925,18165,0.35
926,18163,0.455
927,19159,0.475
928,18157,0.389
929,19023,0.51
930,19005,0.477
931,19033,0.508
932,18037,0.441
933,19183,0.485
934,20069,0.344
935,18093,0.347
936,20007,0.437
937,18113,0.298
938,19197,0.513
939,19161,0.483
940,17179,0.432
941,19157,0.473
942,19103,0.592
943,19123,0.357
944,17087,0.268
945,19101,0.363
946,21085,0.362
947,18081,0.39
948,19017,0.515
949,19195,0.431
950,20113,0.456
951,18123,0.418
952,20003,0.362
953,19071,0.448
954,20173,0.377
955,20149,0.328
956,19099,0.427
957,19181,0.456
958,19041,0.475
959,20139,0.393
960,16001,0.476
961,19053,0.352
962,18133,0.299
963,18149,0.272
964,18101,0.368
965,20131,0.487
966,19185,0.377
967,20121,0.386
968,18177,0.396
969,17141,0.401
970,18179,0.343
971,18057,0.523
972,19043,0.46
973,19095,0.544
974,19105,0.455
975,18155,0.242
976,18145,0.416
977,19179,0.394
978,13299,0.158
979,18117,0.458
980,18141,0.457
981,19093,0.45
982,19173,0.439
983,19075,0.532
984,19175,0.434
985,18137,0.375
986,18153,0.325
987,19079,0.509
988,19091,0.455
989,18103,0.285
990,19111,0.399
991,21003,0.329
992,21049,0.409
993,18111,0.217
994,36075,0.441
995,20143,0.345
996,21029,0.331
997,18131,0.364
998,21015,0.442
999,20107,0.279
1000,21091,0.484
1001,20191,0.347
1002,21061,0.288
1003,20079,0.375
1004,20153,0.354
1005,19107,0.409
1006,21035,0.329
1007,20015,0.361
1008,19145,0.441
1009,20093,0.452
1010,19047,0.473
1011,20011,0.3
1012,21041,0.369
1013,20045,0.452
1014,20181,0.353
1015,21021,0.455
1016,19177,0.364
1017,20037,0.371
1018,19085,0.449
1019,21001,0.278
1020,20163,0.415
1021,20111,0.443
1022,19013,0.485
1023,19011,0.487
1024,20161,0.302
1025,19143,0.427
1026,20193,0.341
1027,18099,0.338
1028,21033,0.396
1029,21019,0.339
1030,18121,0.284
1031,20019,0.369
1032,20209,0.366
1033,20059,0.364
1034,20185,0.387
1035,20123,0.5
1036,18127,0.382
1037,20171,0.389
1038,19187,0.459
1039,20043,0.338
1040,21017,0.433
1041,20025,0.441
1042,18109,0.367
1043,19057,0.413
1044,19015,0.493
1045,20141,0.372
1046,19153,0.476
1047,19193,0.47
1048,21011,0.418
1049,18171,0.354
1050,19133,0.482
1051,20125,0.345
1052,19171,0.528
1053,20103,0.47
1054,18169,0.333
1055,20159,0.35
1056,30111,0.415
1057,20155,0.403
1058,20177,0.485
1059,20129,0.271
1060,20133,0.195
1061,18175,0.309
1062,18181,0.395
1063,20105,0.392
1064,20085,0.51
1065,21093,0.42
1066,21073,0.591
1067,20175,0.299
1068,20109,0.437
1069,21087,0.323
1070,20005,0.344
1071,21077,0.3
1072,19167,0.387
1073,20013,0.503
1074,21099,0.265
1075,20017,0.383
1076,37047,0.307
1077,19065,0.481
1078,20145,0.43
1079,37067,0.436
1080,37107,0.367
1081,19061,0.58
1082,20205,0.375
1083,19083,0.469
1084,19131,0.441
1085,20077,0.419
1086,21089,0.333
1087,19135,0.412
1088,20063,0.462
1089,21095,0.342
1090,20083,0.419
1091,19163,0.486
1092,19087,0.398
1093,37075,0.351
1094,21075,0.346
1095,20091,0.553
1096,19165,0.555
1097,18135,0.363
1098,20035,0.389
1099,20053,0.439
1100,31183,0.246
1101,20021,0.333
1102,20001,0.357
1103,20057,0.325
1104,19007,0.414
1105,37017,0.251
1106,19063,0.449
1107,20099,0.383
1108,18119,0.296
1109,20135,0.427
1110,21063,0.254
1111,21047,0.227
1112,20075,0.296
1113,20065,0.726
1114,36079,0.505
1115,19149,0.487
1116,36113,0.588
1117,31141,0.335
1118,20197,0.383
1119,21067,0.546
1120,20179,0.343
1121,21069,0.383
1122,20027,0.469
1123,21209,0.498
1124,22115,0.218
1125,21125,0.293
1126,21051,0.289
1127,22095,0.399
1128,20127,0.45
1129,20151,0.416
1130,21237,0.407
1131,21199,0.343
1132,21071,0.408
1133,20183,0.412
1134,20195,0.332
1135,20023,0.36
1136,22091,0.196
1137,21005,0.444
1138,20031,0.406
1139,21229,0.397
1140,22077,0.391
1141,21177,0.381
1142,22075,0.435
1143,20051,0.41
1144,21109,0.245
1145,21181,0.435
1146,21231,0.282
1147,23015,0.561
1148,20189,0.253
1149,22125,0.571
1150,21115,0.334
1151,22021,0.273
1152,20117,0.576
1153,20115,0.404
1154,22047,0.352
1155,21037,0.457
1156,21169,0.306
1157,21053,0.292
1158,22093,0.347
1159,22073,0.325
1160,22079,0.337
1161,20147,0.384
1162,21141,0.388
1163,21135,0.233
1164,21145,0.414
1165,20201,0.456
1166,22027,0.274
1167,22089,0.407
1168,21101,0.343
1169,21201,0.312
1170,22033,0.407
1171,23013,0.582
1172,21213,0.37
1173,20097,0.405
1174,21137,0.311
1175,21081,0.346
1176,21149,0.402
1177,22013,0.337
1178,22085,0.245
1179,21157,0.421
1180,20029,0.393
1181,21039,0.29
1182,20119,0.338
1183,22071,0.502
1184,20073,0.441
1185,22099,0.249
1186,20081,0.334
1187,22111,0.33
1188,20137,0.401
1189,21027,0.334
1190,21221,0.361
1191,21143,0.456
1192,21065,0.363
1193,21235,0.353
1194,20089,0.408
1195,23017,0.434
1196,23019,0.498
1197,21239,0.593
1198,21227,0.347
1199,22061,0.318
1200,22097,0.284
1201,21139,0.372
1202,20095,0.403
1203,20101,0.375
1204,21131,0.378
1205,21175,0.382
1206,22113,0.241
1207,22019,0.284
1208,21167,0.402
1209,21173,0.367
1210,21195,0.412
1211,22109,0.31
1212,21097,0.388
1213,23009,0.553
1214,20047,0.413
1215,21103,0.422
1216,21187,0.29
1217,21117,0.446
1218,21197,0.383
1219,21123,0.328
1220,20199,0.325
1221,21171,0.373
1222,22067,0.329
1223,22121,0.356
1224,20165,0.426
1225,22031,0.284
1226,20187,0.412
1227,21055,0.294
1228,23011,0.476
1229,22009,0.263
1230,21079,0.364
1231,21163,0.285
1232,21193,0.465
1233,23025,0.425
1234,21057,0.34
1235,21023,0.385
1236,22053,0.235
1237,23007,0.439
1238,21161,0.414
1239,21059,0.425
1240,20055,0.289
1241,22007,0.282
1242,21183,0.313
1243,21223,0.302
1244,21111,0.493
1245,20071,0.492
1246,22083,0.334
1247,21009,0.356
1248,22035,0.338
1249,20167,0.357
1250,21219,0.281
1251,20039,0.334
1252,22101,0.31
1253,22041,0.276
1254,22069,0.288
1255,21165,0.325
1256,21233,0.331
1257,22049,0.268
1258,21043,0.326
1259,21127,0.329
1260,21151,0.378
1261,22103,0.423
1262,22127,0.284
1263,21179,0.424
1264,23001,0.456
1265,22011,0.21
1266,27007,0.478
1267,21107,0.396
1268,24025,0.477
1269,22017,0.343
1270,26159,0.419
1271,22107,0.432
1272,26069,0.438
1273,24047,0.527
1274,21147,0.311
1275,21113,0.421
1276,21205,0.389
1277,22105,0.306
1278,22039,0.248
1279,27121,0.493
1280,26037,0.445
1281,21155,0.399
1282,24023,0.37
1283,28011,0.399
1284,28149,0.377
1285,26045,0.418
1286,26005,0.403
1287,21133,0.418
1288,24041,0.576
1289,28101,0.343
1290,26101,0.48
1291,27033,0.5
1292,26147,0.378
1293,21119,0.355
1294,26001,0.47
1295,24043,0.392
1296,21159,0.374
1297,21191,0.327
1298,24019,0.438
1299,21211,0.359
1300,28139,0.269
1301,23021,0.459
1302,27053,0.522
1303,26027,0.316
1304,25025,0.461
1305,22001,0.322
1306,29019,0.481
1307,27043,0.46
1308,25027,0.441
1309,26151,0.359
1310,26015,0.369
1311,26125,0.492
1312,22065,0.243
1313,28013,0.262
1314,22005,0.345
1315,27103,0.496
1316,26095,0.347
1317,27165,0.475
1318,26119,0.447
1319,26163,0.381
1320,49001,0.3
1321,25001,0.04
1322,21185,0.484
1323,27017,0.541
1324,27011,0.609
1325,26007,0.454
1326,27047,0.472
1327,27035,0.468
1328,25021,0.534
1329,23029,0.556
1330,23005,0.586
1331,23003,0.522
1332,27067,0.425
1333,26127,0.422
1334,26073,0.314
1335,22123,0.339
1336,26003,0.496
1337,22119,0.302
1338,23023,0.546
1339,27045,0.582
1340,27073,0.532
1341,21207,0.365
1342,26033,0.595
1343,22051,0.46
1344,27131,0.48
1345,26087,0.328
1346,26115,0.318
1347,24013,0.509
1348,27031,0.695
1349,27039,0.481
1350,27061,0.467
1351,26131,0.568
1352,21129,0.332
1353,24015,0.389
1354,21203,0.283
1355,27005,0.486
1356,24021,0.498
1357,25007,0.029
1358,26149,0.357
1359,29011,0.239
1360,26161,0.521
1361,21189,0.345
1362,22117,0.284
1363,27021,0.423
1364,25019,0.008
1365,26011,0.408
1366,26107,0.318
1367,28037,0.321
1368,26133,0.327
1369,23027,0.485
1370,26135,0.351
1371,24045,0.416
1372,26075,0.399
1373,23031,0.525
1374,22059,0.228
1375,28119,0.292
1376,21217,0.369
1377,22057,0.296
1378,27023,0.443
1379,26043,0.513
1380,22023,0.117
1381,26009,0.484
1382,28085,0.26
1383,27147,0.458
1384,22043,0.274
1385,21215,0.18
1386,27063,0.437
1387,26053,0.508
1388,26013,0.45
1389,22087,0.335
1390,21225,0.267
1391,26121,0.434
1392,25005,0.408
1393,26079,0.387
1394,27013,0.45
1395,26165,0.407
1396,26083,0.452
1397,27123,0.483
1398,24027,0.597
1399,24001,0.389
1400,22045,0.304
1401,26035,0.371
1402,22037,0.27
1403,28129,0.216
1404,21121,0.275
1405,26023,0.372
1406,22025,0.259
1407,26071,0.475
1408,24011,0.445
1409,27083,0.479
1410,26031,0.416
1411,26063,0.467
1412,26113,0.406
1413,27009,0.284
1414,25015,0.417
1415,27089,0.376
1416,26153,0.413
1417,26047,0.614
1418,26109,0.498
1419,27059,0.276
1420,24017,0.413
1421,26141,0.519
1422,26143,0.427
1423,27055,0.377
1424,22015,0.316
1425,26019,0.534
1426,27025,0.4
1427,26117,0.316
1428,27003,0.382
1429,41031,0.449
1430,27071,0.469
1431,27137,0.541
1432,27093,0.401
1433,24035,0.479
1434,28061,0.314
1435,27169,0.487
1436,27051,0.491
1437,28133,0.34
1438,28051,0.365
1439,27133,0.481
1440,26025,0.388
1441,28041,0.193
1442,27117,0.491
1443,29025,0.267
1444,26091,0.373
1445,28105,0.339
1446,26039,0.379
1447,28073,0.395
1448,28069,0.249
1449,27145,0.41
1450,28083,0.395
1451,26099,0.414
1452,25009,0.511
1453,27173,0.507
1454,27015,0.553
1455,28123,0.314
1456,27027,0.311
1457,28021,0.33
1458,26145,0.434
1459,27075,0.556
1460,26097,0.583
1461,28109,0.28
1462,27109,0.631
1463,28049,0.383
1464,28067,0.284
1465,28163,0.268
1466,27111,0.417
1467,26041,0.513
1468,28039,0.266
1469,26155,0.376
1470,24033,0.418
1471,28103,0.385
1472,28161,0.419
1473,28009,0.286
1474,26157,0.359
1475,28075,0.33
1476,25013,0.389
1477,26049,0.369
1478,27069,0.496
1479,29207,0.273
1480,26085,0.354
1481,27127,0.436
1482,26129,0.358
1483,26055,0.556
1484,27057,0.398
1485,28157,0.428
1486,25003,0.36
1487,28127,0.298
1488,26077,0.488
1489,28113,0.326
1490,28047,0.35
1491,41059,0.361
1492,28043,0.319
1493,29027,0.33
1494,28035,0.256
1495,28017,0.318
1496,27157,0.602
1497,28003,0.257
1498,28095,0.323
1499,29007,0.281
1500,29003,0.295
1501,27143,0.372
1502,26123,0.343
1503,24009,0.459
1504,28071,0.394
1505,30075,0.153
1506,27101,0.462
