,GeoFIPS,LineCode,Description,Unit,2016,2017,2018,2019
2758, 19181,2.0,Population (persons) 1/,Number of persons,49356,50078,51014,51466
2759, 19181,3.0,Per capita personal income (dollars) 2/,Dollars,47638,49151,50495,51776
2760, 19183,1.0,Personal income (thousands of dollars),Thousands of dollars,1123433,1210835,1314445,1365010
2761, 19183,2.0,Population (persons) 1/,Number of persons,22126,22204,22058,21965
2762, 19183,3.0,Per capita personal income (dollars) 2/,Dollars,50774,54532,59590,62145
2763, 19185,1.0,Personal income (thousands of dollars),Thousands of dollars,243035,257996,275347,287357
2764, 19185,2.0,Population (persons) 1/,Number of persons,6447,6492,6405,6441
2765, 19185,3.0,Per capita personal income (dollars) 2/,Dollars,37697,39741,42989,44614
2766, 19187,1.0,Personal income (thousands of dollars),Thousands of dollars,1640473,1595573,1669112,1744487
2767, 19187,2.0,Population (persons) 1/,Number of persons,36781,36637,36339,35904
2768, 19187,3.0,Per capita personal income (dollars) 2/,Dollars,44601,43551,45932,48588
2769, 19189,1.0,Personal income (thousands of dollars),Thousands of dollars,424888,435039,460871,474136
2770, 19189,2.0,Population (persons) 1/,Number of persons,10602,10573,10539,10354
2771, 19189,3.0,Per capita personal income (dollars) 2/,Dollars,40076,41146,43730,45793
2772, 19191,1.0,Personal income (thousands of dollars),Thousands of dollars,940709,938349,988820,1037615
2773, 19191,2.0,Population (persons) 1/,Number of persons,20427,20129,20017,19991
2774, 19191,3.0,Per capita personal income (dollars) 2/,Dollars,46052,46617,49399,51904
2775, 19193,1.0,Personal income (thousands of dollars),Thousands of dollars,4296517,4256912,4462054,4653432
2776, 19193,2.0,Population (persons) 1/,Number of persons,102686,102132,102515,103107
2777, 19193,3.0,Per capita personal income (dollars) 2/,Dollars,41841,41680,43526,45132
2778, 19195,1.0,Personal income (thousands of dollars),Thousands of dollars,325190,303613,307447,329744
2779, 19195,2.0,Population (persons) 1/,Number of persons,7471,7455,7413,7381
2780, 19195,3.0,Per capita personal income (dollars) 2/,Dollars,43527,40726,41474,44675
2781, 19197,1.0,Personal income (thousands of dollars),Thousands of dollars,613059,625708,690815,694149
2782, 19197,2.0,Population (persons) 1/,Number of persons,12839,12765,12690,12562
2783, 19197,3.0,Per capita personal income (dollars) 2/,Dollars,47750,49017,54438,55258
2784, 20000,1.0,Personal income (thousands of dollars),Thousands of dollars,137945129,142185682,149238973,155647592
2785, 20000,2.0,Population (persons) 1/,Number of persons,2910844,2908718,2911359,2913314
2786, 20000,3.0,Per capita personal income (dollars) 2/,Dollars,47390,48883,51261,53426
2787, 20001,1.0,Personal income (thousands of dollars),Thousands of dollars,460373,470980,497069,533888
2788, 20001,2.0,Population (persons) 1/,Number of persons,12670,12555,12501,12369
2789, 20001,3.0,Per capita personal income (dollars) 2/,Dollars,36336,37513,39762,43163
2790, 20003,1.0,Personal income (thousands of dollars),Thousands of dollars,309482,295141,303000,330401
2791, 20003,2.0,Population (persons) 1/,Number of persons,7812,7833,7848,7858
2792, 20003,3.0,Per capita personal income (dollars) 2/,Dollars,39616,37679,38609,42046
2793, 20005,1.0,Personal income (thousands of dollars),Thousands of dollars,569680,594677,615923,648297
2794, 20005,2.0,Population (persons) 1/,Number of persons,16376,16298,16173,16073
2795, 20005,3.0,Per capita personal income (dollars) 2/,Dollars,34787,36488,38083,40335
2796, 20007,1.0,Personal income (thousands of dollars),Thousands of dollars,187235,181568,195760,214662
2797, 20007,2.0,Population (persons) 1/,Number of persons,4673,4570,4465,4427
2798, 20007,3.0,Per capita personal income (dollars) 2/,Dollars,40067,39730,43843,48489
2799, 20009,1.0,Personal income (thousands of dollars),Thousands of dollars,1213909,1193128,1204084,1275030
2800, 20009,2.0,Population (persons) 1/,Number of persons,26878,26394,26057,25779
2801, 20009,3.0,Per capita personal income (dollars) 2/,Dollars,45164,45205,46210,49460
2802, 20011,1.0,Personal income (thousands of dollars),Thousands of dollars,578298,598244,655653,670726
2803, 20011,2.0,Population (persons) 1/,Number of persons,14624,14609,14542,14534
2804, 20011,3.0,Per capita personal income (dollars) 2/,Dollars,39544,40950,45087,46149
2805, 20013,1.0,Personal income (thousands of dollars),Thousands of dollars,394733,404032,439660,458399
2806, 20013,2.0,Population (persons) 1/,Number of persons,9641,9609,9610,9564
2807, 20013,3.0,Per capita personal income (dollars) 2/,Dollars,40943,42047,45750,47930
2808, 20015,1.0,Personal income (thousands of dollars),Thousands of dollars,2850882,2925813,3081576,3226195
2809, 20015,2.0,Population (persons) 1/,Number of persons,66652,66845,66833,66911
2810, 20015,3.0,Per capita personal income (dollars) 2/,Dollars,42773,43770,46109,48216
2811, 20017,1.0,Personal income (thousands of dollars),Thousands of dollars,118266,121673,135423,142679
2812, 20017,2.0,Population (persons) 1/,Number of persons,2632,2651,2600,2648
2813, 20017,3.0,Per capita personal income (dollars) 2/,Dollars,44934,45897,52086,53882
2814, 20019,1.0,Personal income (thousands of dollars),Thousands of dollars,127344,127188,134368,140812
2815, 20019,2.0,Population (persons) 1/,Number of persons,3360,3315,3304,3250
2816, 20019,3.0,Per capita personal income (dollars) 2/,Dollars,37900,38367,40668,43327
2817, 20021,1.0,Personal income (thousands of dollars),Thousands of dollars,712075,751868,820247,854831
2818, 20021,2.0,Population (persons) 1/,Number of persons,20256,20129,20035,19939
2819, 20021,3.0,Per capita personal income (dollars) 2/,Dollars,35154,37352,40941,42872
2820, 20023,1.0,Personal income (thousands of dollars),Thousands of dollars,113846,110729,125354,145844
2821, 20023,2.0,Population (persons) 1/,Number of persons,2667,2684,2645,2657
2822, 20023,3.0,Per capita personal income (dollars) 2/,Dollars,42687,41255,47393,54890
2823, 20025,1.0,Personal income (thousands of dollars),Thousands of dollars,114563,110749,121128,128527
2824, 20025,2.0,Population (persons) 1/,Number of persons,2065,1995,1994,1994
2825, 20025,3.0,Per capita personal income (dollars) 2/,Dollars,55478,55513,60746,64457
2826, 20027,1.0,Personal income (thousands of dollars),Thousands of dollars,311834,321279,340951,375197
2827, 20027,2.0,Population (persons) 1/,Number of persons,8105,8006,8003,8002
2828, 20027,3.0,Per capita personal income (dollars) 2/,Dollars,38474,40130,42603,46888
2829, 20029,1.0,Personal income (thousands of dollars),Thousands of dollars,313196,316765,338287,368059
2830, 20029,2.0,Population (persons) 1/,Number of persons,9070,8912,8734,8786
2831, 20029,3.0,Per capita personal income (dollars) 2/,Dollars,34531,35544,38732,41892
2832, 20031,1.0,Personal income (thousands of dollars),Thousands of dollars,428922,402016,436364,450819
2833, 20031,2.0,Population (persons) 1/,Number of persons,8339,8228,8232,8179
2834, 20031,3.0,Per capita personal income (dollars) 2/,Dollars,51436,48860,53008,55119
2835, 20033,1.0,Personal income (thousands of dollars),Thousands of dollars,69879,66212,75794,79693
2836, 20033,2.0,Population (persons) 1/,Number of persons,1838,1759,1736,1700
2837, 20033,3.0,Per capita personal income (dollars) 2/,Dollars,38019,37642,43660,46878
2838, 20035,1.0,Personal income (thousands of dollars),Thousands of dollars,1280604,1288307,1334544,1397793
2839, 20035,2.0,Population (persons) 1/,Number of persons,35650,35297,35149,34908
2840, 20035,3.0,Per capita personal income (dollars) 2/,Dollars,35922,36499,37968,40042
2841, 20037,1.0,Personal income (thousands of dollars),Thousands of dollars,1352228,1418655,1488481,1544504
2842, 20037,2.0,Population (persons) 1/,Number of persons,39046,38925,38911,38818
2843, 20037,3.0,Per capita personal income (dollars) 2/,Dollars,34632,36446,38253,39788
2844, 20039,1.0,Personal income (thousands of dollars),Thousands of dollars,139355,120692,124537,143145
2845, 20039,2.0,Population (persons) 1/,Number of persons,2828,2863,2860,2827
2846, 20039,3.0,Per capita personal income (dollars) 2/,Dollars,49277,42156,43544,50635
2847, 20041,1.0,Personal income (thousands of dollars),Thousands of dollars,713143,734158,770584,814378
2848, 20041,2.0,Population (persons) 1/,Number of persons,18956,18829,18682,18466
2849, 20041,3.0,Per capita personal income (dollars) 2/,Dollars,37621,38991,41247,44101
2850, 20043,1.0,Personal income (thousands of dollars),Thousands of dollars,280044,292411,301554,338092
2851, 20043,2.0,Population (persons) 1/,Number of persons,7718,7657,7658,7600
2852, 20043,3.0,Per capita personal income (dollars) 2/,Dollars,36285,38189,39378,44486
2853, 20045,1.0,Personal income (thousands of dollars),Thousands of dollars,4789302,5035739,5321380,5521639
2854, 20045,2.0,Population (persons) 1/,Number of persons,119662,120281,121109,122259
2855, 20045,3.0,Per capita personal income (dollars) 2/,Dollars,40024,41866,43939,45163
2856, 20047,1.0,Personal income (thousands of dollars),Thousands of dollars,178535,154279,158542,175455
2857, 20047,2.0,Population (persons) 1/,Number of persons,2899,2873,2820,2798
2858, 20047,3.0,Per capita personal income (dollars) 2/,Dollars,61585,53700,56221,62707
2859, 20049,1.0,Personal income (thousands of dollars),Thousands of dollars,91741,92631,97679,105069
2860, 20049,2.0,Population (persons) 1/,Number of persons,2511,2514,2484,2530
2861, 20049,3.0,Per capita personal income (dollars) 2/,Dollars,36536,36846,39323,41529
2862, 20051,1.0,Personal income (thousands of dollars),Thousands of dollars,1244561,1248679,1317137,1363635
2863, 20051,2.0,Population (persons) 1/,Number of persons,28942,28735,28646,28553
2864, 20051,3.0,Per capita personal income (dollars) 2/,Dollars,43002,43455,45980,47758
2865, 20053,1.0,Personal income (thousands of dollars),Thousands of dollars,229675,254866,271439,295217
2866, 20053,2.0,Population (persons) 1/,Number of persons,6302,6284,6163,6102
2867, 20053,3.0,Per capita personal income (dollars) 2/,Dollars,36445,40558,44043,48380
2868, 20055,1.0,Personal income (thousands of dollars),Thousands of dollars,1510030,1522261,1620260,1707489
2869, 20055,2.0,Population (persons) 1/,Number of persons,36885,36720,36528,36467
2870, 20055,3.0,Per capita personal income (dollars) 2/,Dollars,40939,41456,44357,46823
2871, 20057,1.0,Personal income (thousands of dollars),Thousands of dollars,1276307,1281879,1328624,1390924
2872, 20057,2.0,Population (persons) 1/,Number of persons,34552,34218,33877,33619
2873, 20057,3.0,Per capita personal income (dollars) 2/,Dollars,36939,37462,39219,41373
2874, 20059,1.0,Personal income (thousands of dollars),Thousands of dollars,1006673,1043747,1093449,1136000
2875, 20059,2.0,Population (persons) 1/,Number of persons,25523,25631,25625,25544
2876, 20059,3.0,Per capita personal income (dollars) 2/,Dollars,39442,40722,42671,44472
2877, 20061,1.0,Personal income (thousands of dollars),Thousands of dollars,1555360,1585184,1606216,1628155
2878, 20061,2.0,Population (persons) 1/,Number of persons,35223,33774,32777,31670
2879, 20061,3.0,Per capita personal income (dollars) 2/,Dollars,44158,46935,49004,51410
2880, 20063,1.0,Personal income (thousands of dollars),Thousands of dollars,178214,146198,152862,175038
2881, 20063,2.0,Population (persons) 1/,Number of persons,2622,2622,2611,2636
2882, 20063,3.0,Per capita personal income (dollars) 2/,Dollars,67969,55758,58545,66403
2883, 20065,1.0,Personal income (thousands of dollars),Thousands of dollars,113874,111633,122948,141324
2884, 20065,2.0,Population (persons) 1/,Number of persons,2562,2485,2475,2482
2885, 20065,3.0,Per capita personal income (dollars) 2/,Dollars,44447,44923,49676,56940
2886, 20067,1.0,Personal income (thousands of dollars),Thousands of dollars,373400,322447,356276,392475
2887, 20067,2.0,Population (persons) 1/,Number of persons,7675,7490,7294,7150
2888, 20067,3.0,Per capita personal income (dollars) 2/,Dollars,48651,43050,48845,54892
2889, 20069,1.0,Personal income (thousands of dollars),Thousands of dollars,437648,386040,407993,454857
2890, 20069,2.0,Population (persons) 1/,Number of persons,6031,6018,6076,5988
2891, 20069,3.0,Per capita personal income (dollars) 2/,Dollars,72566,64148,67148,75961
2892, 20071,1.0,Personal income (thousands of dollars),Thousands of dollars,77423,88604,93477,121865
2893, 20071,2.0,Population (persons) 1/,Number of persons,1277,1226,1229,1232
2894, 20071,3.0,Per capita personal income (dollars) 2/,Dollars,60629,72271,76059,98916
2895, 20073,1.0,Personal income (thousands of dollars),Thousands of dollars,241346,242968,249134,267332
2896, 20073,2.0,Population (persons) 1/,Number of persons,6112,6067,6011,5982
2897, 20073,3.0,Per capita personal income (dollars) 2/,Dollars,39487,40047,41446,44689
2898, 20075,1.0,Personal income (thousands of dollars),Thousands of dollars,135392,130080,145708,176052
2899, 20075,2.0,Population (persons) 1/,Number of persons,2634,2616,2600,2539
2900, 20075,3.0,Per capita personal income (dollars) 2/,Dollars,51402,49725,56042,69339
2901, 20077,1.0,Personal income (thousands of dollars),Thousands of dollars,250092,242657,261705,298402
2902, 20077,2.0,Population (persons) 1/,Number of persons,5667,5580,5508,5436
2903, 20077,3.0,Per capita personal income (dollars) 2/,Dollars,44131,43487,47514,54894
2904, 20079,1.0,Personal income (thousands of dollars),Thousands of dollars,1349097,1366896,1442018,1529186
2905, 20079,2.0,Population (persons) 1/,Number of persons,34726,34373,34183,34429
2906, 20079,3.0,Per capita personal income (dollars) 2/,Dollars,38850,39767,42185,44416
2907, 20081,1.0,Personal income (thousands of dollars),Thousands of dollars,277073,261439,256552,309324
2908, 20081,2.0,Population (persons) 1/,Number of persons,4026,4019,3990,3968
2909, 20081,3.0,Per capita personal income (dollars) 2/,Dollars,68821,65051,64299,77955
2910, 20083,1.0,Personal income (thousands of dollars),Thousands of dollars,105989,96944,105186,117845
2911, 20083,2.0,Population (persons) 1/,Number of persons,1851,1863,1822,1794
2912, 20083,3.0,Per capita personal income (dollars) 2/,Dollars,57260,52037,57731,65688
2913, 20085,1.0,Personal income (thousands of dollars),Thousands of dollars,507685,530887,553735,572239
2914, 20085,2.0,Population (persons) 1/,Number of persons,13270,13332,13270,13171
2915, 20085,3.0,Per capita personal income (dollars) 2/,Dollars,38258,39821,41728,43447
2916, 20087,1.0,Personal income (thousands of dollars),Thousands of dollars,775486,808436,842305,880439
2917, 20087,2.0,Population (persons) 1/,Number of persons,18824,18932,18856,19043
2918, 20087,3.0,Per capita personal income (dollars) 2/,Dollars,41197,42702,44670,46234
2919, 20089,1.0,Personal income (thousands of dollars),Thousands of dollars,134362,126701,143944,166090
2920, 20089,2.0,Population (persons) 1/,Number of persons,2880,2857,2845,2879
2921, 20089,3.0,Per capita personal income (dollars) 2/,Dollars,46653,44348,50595,57690
2922, 20091,1.0,Personal income (thousands of dollars),Thousands of dollars,40298721,41956376,44540502,45906867
2923, 20091,2.0,Population (persons) 1/,Number of persons,586015,591305,598127,602401
2924, 20091,3.0,Per capita personal income (dollars) 2/,Dollars,68767,70956,74467,76206
2925, 20093,1.0,Personal income (thousands of dollars),Thousands of dollars,193417,192835,201920,227159
2926, 20093,2.0,Population (persons) 1/,Number of persons,3890,3935,3941,3838
2927, 20093,3.0,Per capita personal income (dollars) 2/,Dollars,49722,49005,51236,59187
2928, 20095,1.0,Personal income (thousands of dollars),Thousands of dollars,314327,299525,314899,346960
2929, 20095,2.0,Population (persons) 1/,Number of persons,7417,7275,7220,7152
2930, 20095,3.0,Per capita personal income (dollars) 2/,Dollars,42379,41172,43615,48512
2931, 20097,1.0,Personal income (thousands of dollars),Thousands of dollars,98094,101729,106712,118122
2932, 20097,2.0,Population (persons) 1/,Number of persons,2507,2486,2489,2475
2933, 20097,3.0,Per capita personal income (dollars) 2/,Dollars,39128,40921,42873,47726
2934, 20099,1.0,Personal income (thousands of dollars),Thousands of dollars,804447,814705,844523,878100
2935, 20099,2.0,Population (persons) 1/,Number of persons,20313,20129,19906,19618
2936, 20099,3.0,Per capita personal income (dollars) 2/,Dollars,39603,40474,42426,44760
2937, 20101,1.0,Personal income (thousands of dollars),Thousands of dollars,119496,102624,111515,130485
2938, 20101,2.0,Population (persons) 1/,Number of persons,1593,1548,1546,1535
2939, 20101,3.0,Per capita personal income (dollars) 2/,Dollars,75013,66295,72131,85007
2940, 20103,1.0,Personal income (thousands of dollars),Thousands of dollars,3213097,3344034,3473826,3603493
2941, 20103,2.0,Population (persons) 1/,Number of persons,80244,81109,81497,81758
2942, 20103,3.0,Per capita personal income (dollars) 2/,Dollars,40042,41229,42625,44075
2943, 20105,1.0,Personal income (thousands of dollars),Thousands of dollars,114522,114236,128139,143495
2944, 20105,2.0,Population (persons) 1/,Number of persons,3077,3043,2998,2962
2945, 20105,3.0,Per capita personal income (dollars) 2/,Dollars,37219,37541,42741,48445
2946, 20107,1.0,Personal income (thousands of dollars),Thousands of dollars,339594,357610,375837,397946
2947, 20107,2.0,Population (persons) 1/,Number of persons,9606,9697,9771,9703
2948, 20107,3.0,Per capita personal income (dollars) 2/,Dollars,35352,36878,38465,41013
2949, 20109,1.0,Personal income (thousands of dollars),Thousands of dollars,127789,122126,130925,150316
2950, 20109,2.0,Population (persons) 1/,Number of persons,2818,2814,2812,2794
2951, 20109,3.0,Per capita personal income (dollars) 2/,Dollars,45347,43399,46559,53800
2952, 20111,1.0,Personal income (thousands of dollars),Thousands of dollars,1187991,1224172,1282892,1326544
2953, 20111,2.0,Population (persons) 1/,Number of persons,33369,33257,33300,33195
2954, 20111,3.0,Per capita personal income (dollars) 2/,Dollars,35602,36809,38525,39962
2955, 20113,1.0,Personal income (thousands of dollars),Thousands of dollars,1315735,1349291,1474564,1615965
2956, 20113,2.0,Population (persons) 1/,Number of persons,28429,28687,28528,28542
2957, 20113,3.0,Per capita personal income (dollars) 2/,Dollars,46281,47035,51688,56617
2958, 20115,1.0,Personal income (thousands of dollars),Thousands of dollars,460759,468691,501150,542878
2959, 20115,2.0,Population (persons) 1/,Number of persons,12017,11945,11923,11884
2960, 20115,3.0,Per capita personal income (dollars) 2/,Dollars,38342,39237,42032,45681
2961, 20117,1.0,Personal income (thousands of dollars),Thousands of dollars,385709,401416,426071,452153
2962, 20117,2.0,Population (persons) 1/,Number of persons,9789,9687,9715,9707
2963, 20117,3.0,Per capita personal income (dollars) 2/,Dollars,39402,41439,43857,46580
2964, 20119,1.0,Personal income (thousands of dollars),Thousands of dollars,234831,227334,238589,267265
2965, 20119,2.0,Population (persons) 1/,Number of persons,4236,4230,4098,4033
2966, 20119,3.0,Per capita personal income (dollars) 2/,Dollars,55437,53743,58221,66270
2967, 20121,1.0,Personal income (thousands of dollars),Thousands of dollars,1468017,1557598,1635646,1719055
2968, 20121,2.0,Population (persons) 1/,Number of persons,32923,33429,33737,34237
2969, 20121,3.0,Per capita personal income (dollars) 2/,Dollars,44589,46594,48482,50210
2970, 20123,1.0,Personal income (thousands of dollars),Thousands of dollars,297583,302896,350013,375362
2971, 20123,2.0,Population (persons) 1/,Number of persons,6207,6137,6110,5979
2972, 20123,3.0,Per capita personal income (dollars) 2/,Dollars,47943,49356,57285,62780
2973, 20125,1.0,Personal income (thousands of dollars),Thousands of dollars,1114217,1141713,1197827,1242628
2974, 20125,2.0,Population (persons) 1/,Number of persons,32859,32390,32091,31829
2975, 20125,3.0,Per capita personal income (dollars) 2/,Dollars,33909,35249,37326,39041
2976, 20127,1.0,Personal income (thousands of dollars),Thousands of dollars,223862,225917,248502,260816
2977, 20127,2.0,Population (persons) 1/,Number of persons,5558,5467,5557,5620
2978, 20127,3.0,Per capita personal income (dollars) 2/,Dollars,40277,41324,44719,46409
2979, 20129,1.0,Personal income (thousands of dollars),Thousands of dollars,96800,112152,120199,137878
2980, 20129,2.0,Population (persons) 1/,Number of persons,2790,2747,2693,2587
2981, 20129,3.0,Per capita personal income (dollars) 2/,Dollars,34695,40827,44634,53296
2982, 20131,1.0,Personal income (thousands of dollars),Thousands of dollars,468907,510972,532572,544402
2983, 20131,2.0,Population (persons) 1/,Number of persons,10089,10060,10125,10231
2984, 20131,3.0,Per capita personal income (dollars) 2/,Dollars,46477,50792,52600,53211
2985, 20133,1.0,Personal income (thousands of dollars),Thousands of dollars,579049,598245,627200,661481
2986, 20133,2.0,Population (persons) 1/,Number of persons,16127,16094,16025,16007
2987, 20133,3.0,Per capita personal income (dollars) 2/,Dollars,35906,37172,39139,41324
2988, 20135,1.0,Personal income (thousands of dollars),Thousands of dollars,125741,131087,143141,161978
2989, 20135,2.0,Population (persons) 1/,Number of persons,2957,2856,2796,2750
2990, 20135,3.0,Per capita personal income (dollars) 2/,Dollars,42523,45899,51195,58901
2991, 20137,1.0,Personal income (thousands of dollars),Thousands of dollars,237380,228703,229154,256458
2992, 20137,2.0,Population (persons) 1/,Number of persons,5491,5421,5419,5361
2993, 20137,3.0,Per capita personal income (dollars) 2/,Dollars,43231,42188,42287,47838
2994, 20139,1.0,Personal income (thousands of dollars),Thousands of dollars,607842,620019,666464,693137
2995, 20139,2.0,Population (persons) 1/,Number of persons,15811,15842,15938,15949
2996, 20139,3.0,Per capita personal income (dollars) 2/,Dollars,38444,39138,41816,43460
2997, 20141,1.0,Personal income (thousands of dollars),Thousands of dollars,149363,141241,166864,180932
2998, 20141,2.0,Population (persons) 1/,Number of persons,3588,3539,3459,3421
2999, 20141,3.0,Per capita personal income (dollars) 2/,Dollars,41628,39910,48241,52889
3000, 20143,1.0,Personal income (thousands of dollars),Thousands of dollars,225966,230945,240613,259057
3001, 20143,2.0,Population (persons) 1/,Number of persons,5905,5817,5752,5704
3002, 20143,3.0,Per capita personal income (dollars) 2/,Dollars,38267,39702,41831,45417
3003, 20145,1.0,Personal income (thousands of dollars),Thousands of dollars,304527,260031,265311,296491
3004, 20145,2.0,Population (persons) 1/,Number of persons,6719,6665,6573,6414
3005, 20145,3.0,Per capita personal income (dollars) 2/,Dollars,45323,39014,40364,46226
3006, 20147,1.0,Personal income (thousands of dollars),Thousands of dollars,270931,258940,268390,293696
3007, 20147,2.0,Population (persons) 1/,Number of persons,5402,5370,5276,5234
3008, 20147,3.0,Per capita personal income (dollars) 2/,Dollars,50154,48220,50870,56113
3009, 20149,1.0,Personal income (thousands of dollars),Thousands of dollars,1223943,1219039,1278916,1347664
3010, 20149,2.0,Population (persons) 1/,Number of persons,23605,23916,24209,24383
3011, 20149,3.0,Per capita personal income (dollars) 2/,Dollars,51851,50972,52828,55271
3012, 20151,1.0,Personal income (thousands of dollars),Thousands of dollars,445125,424878,446840,493861
3013, 20151,2.0,Population (persons) 1/,Number of persons,9557,9500,9340,9164
3014, 20151,3.0,Per capita personal income (dollars) 2/,Dollars,46576,44724,47842,53891
3015, 20153,1.0,Personal income (thousands of dollars),Thousands of dollars,126635,116752,128737,157233
3016, 20153,2.0,Population (persons) 1/,Number of persons,2500,2473,2502,2530
3017, 20153,3.0,Per capita personal income (dollars) 2/,Dollars,50654,47211,51454,62147
3018, 20155,1.0,Personal income (thousands of dollars),Thousands of dollars,2336396,2454470,2500016,2611022
3019, 20155,2.0,Population (persons) 1/,Number of persons,63184,62714,62331,61998
3020, 20155,3.0,Per capita personal income (dollars) 2/,Dollars,36978,39138,40109,42115
3021, 20157,1.0,Personal income (thousands of dollars),Thousands of dollars,210582,198289,205399,231888
3022, 20157,2.0,Population (persons) 1/,Number of persons,4659,4654,4652,4636
3023, 20157,3.0,Per capita personal income (dollars) 2/,Dollars,45199,42606,44153,50019
3024, 20159,1.0,Personal income (thousands of dollars),Thousands of dollars,404149,394584,410830,450552
3025, 20159,2.0,Population (persons) 1/,Number of persons,9782,9563,9483,9537
3026, 20159,3.0,Per capita personal income (dollars) 2/,Dollars,41316,41262,43323,47243
3027, 20161,1.0,Personal income (thousands of dollars),Thousands of dollars,2983753,3014677,3065101,3156929
3028, 20161,2.0,Population (persons) 1/,Number of persons,75172,73977,74712,74232
3029, 20161,3.0,Per capita personal income (dollars) 2/,Dollars,39692,40752,41026,42528
3030, 20163,1.0,Personal income (thousands of dollars),Thousands of dollars,185308,182992,201260,218440
3031, 20163,2.0,Population (persons) 1/,Number of persons,5118,5055,4995,4920
3032, 20163,3.0,Per capita personal income (dollars) 2/,Dollars,36207,36200,40292,44398
3033, 20165,1.0,Personal income (thousands of dollars),Thousands of dollars,130163,125830,143713,158476
3034, 20165,2.0,Population (persons) 1/,Number of persons,3054,3048,3056,3036
3035, 20165,3.0,Per capita personal income (dollars) 2/,Dollars,42620,41283,47027,52199
3036, 20167,1.0,Personal income (thousands of dollars),Thousands of dollars,294751,294173,308060,322566
3037, 20167,2.0,Population (persons) 1/,Number of persons,7007,6930,6902,6856
3038, 20167,3.0,Per capita personal income (dollars) 2/,Dollars,42065,42449,44633,47049
3039, 20169,1.0,Personal income (thousands of dollars),Thousands of dollars,2501250,2593595,2684887,2755684
3040, 20169,2.0,Population (persons) 1/,Number of persons,54955,54508,54387,54224
3041, 20169,3.0,Per capita personal income (dollars) 2/,Dollars,45515,47582,49366,50820
3042, 20171,1.0,Personal income (thousands of dollars),Thousands of dollars,341941,309721,313054,357978
3043, 20171,2.0,Population (persons) 1/,Number of persons,4979,4928,4909,4823
3044, 20171,3.0,Per capita personal income (dollars) 2/,Dollars,68677,62849,63771,74223
3045, 20173,1.0,Personal income (thousands of dollars),Thousands of dollars,24521889,25876439,26706256,27647784
3046, 20173,2.0,Population (persons) 1/,Number of persons,513092,513176,513484,516042
3047, 20173,3.0,Per capita personal income (dollars) 2/,Dollars,47792,50424,52010,53577
3048, 20175,1.0,Personal income (thousands of dollars),Thousands of dollars,847943,817538,848017,890708
3049, 20175,2.0,Population (persons) 1/,Number of persons,22897,22245,21902,21428
3050, 20175,3.0,Per capita personal income (dollars) 2/,Dollars,37033,36752,38719,41567
3051, 20177,1.0,Personal income (thousands of dollars),Thousands of dollars,7775381,7922171,8325000,8488426
3052, 20177,2.0,Population (persons) 1/,Number of persons,178350,178056,177290,176875
3053, 20177,3.0,Per capita personal income (dollars) 2/,Dollars,43596,44493,46957,47991
3054, 20179,1.0,Personal income (thousands of dollars),Thousands of dollars,139121,123099,116366,156696
3055, 20179,2.0,Population (persons) 1/,Number of persons,2485,2526,2522,2521
3056, 20179,3.0,Per capita personal income (dollars) 2/,Dollars,55984,48733,46140,62156
3057, 20181,1.0,Personal income (thousands of dollars),Thousands of dollars,240117,246821,263013,275663
3058, 20181,2.0,Population (persons) 1/,Number of persons,5955,5936,5917,5917
3059, 20181,3.0,Per capita personal income (dollars) 2/,Dollars,40322,41580,44450,46588
3060, 20183,1.0,Personal income (thousands of dollars),Thousands of dollars,147695,147704,163492,191264
3061, 20183,2.0,Population (persons) 1/,Number of persons,3656,3615,3590,3583
3062, 20183,3.0,Per capita personal income (dollars) 2/,Dollars,40398,40859,45541,53381
3063, 20185,1.0,Personal income (thousands of dollars),Thousands of dollars,195175,185771,198340,231193
3064, 20185,2.0,Population (persons) 1/,Number of persons,4186,4186,4162,4156
3065, 20185,3.0,Per capita personal income (dollars) 2/,Dollars,46626,44379,47655,55629
3066, 20187,1.0,Personal income (thousands of dollars),Thousands of dollars,121914,123676,125593,152138
3067, 20187,2.0,Population (persons) 1/,Number of persons,2105,2055,2025,2006
3068, 20187,3.0,Per capita personal income (dollars) 2/,Dollars,57916,60183,62021,75841
3069, 20189,1.0,Personal income (thousands of dollars),Thousands of dollars,219903,219438,234005,271725
3070, 20189,2.0,Population (persons) 1/,Number of persons,5653,5551,5536,5485
3071, 20189,3.0,Per capita personal income (dollars) 2/,Dollars,38900,39531,42270,49540
3072, 20191,1.0,Personal income (thousands of dollars),Thousands of dollars,842295,853770,895158,971070
3073, 20191,2.0,Population (persons) 1/,Number of persons,23183,23117,23019,22836
3074, 20191,3.0,Per capita personal income (dollars) 2/,Dollars,36332,36933,38888,42524
3075, 20193,1.0,Personal income (thousands of dollars),Thousands of dollars,337107,343175,369339,408607
3076, 20193,2.0,Population (persons) 1/,Number of persons,7847,7821,7710,7777
3077, 20193,3.0,Per capita personal income (dollars) 2/,Dollars,42960,43879,47904,52540
3078, 20195,1.0,Personal income (thousands of dollars),Thousands of dollars,128079,125000,136143,150220
3079, 20195,2.0,Population (persons) 1/,Number of persons,2852,2843,2797,2803
3080, 20195,3.0,Per capita personal income (dollars) 2/,Dollars,44908,43968,48675,53593
3081, 20197,1.0,Personal income (thousands of dollars),Thousands of dollars,324488,332958,349819,365308
